feature,provider,prompt_style,context_level,rf_importance,shap_importance,auroc,n_samples,n_positive,n_negative
polarization_score,anthropic,controversial,post,0.08650016844410391,0.014024600402080046,0.7822733245729303,961,200,761
primary_topic,anthropic,controversial,post,0.0608104901769731,0.0094265431818688,0.7822733245729303,961,200,761
toxicity,anthropic,controversial,post,0.0719325111793183,0.009584843347080296,0.7822733245729303,961,200,761
user_followers_count,anthropic,controversial,post,0.07529811716159959,0.01659356197450997,0.7822733245729303,961,200,761
user_friends_count,anthropic,controversial,post,0.0666242401784658,0.015533446980437614,0.7822733245729303,961,200,761
user_statuses_count,anthropic,controversial,post,0.06176931986202696,0.010438903364200603,0.7822733245729303,961,200,761
user_favourites_count,anthropic,controversial,post,0.05300065184101863,0.009064296801348454,0.7822733245729303,961,200,761
favorite_count,anthropic,controversial,post,0.0752513046656953,0.010157009547721753,0.7822733245729303,961,200,761
retweet_count,anthropic,controversial,post,0.08286985461494627,0.013699049416163366,0.7822733245729303,961,200,761
retweeted,anthropic,controversial,post,0.012608058627000918,0.003239277106461945,0.7822733245729303,961,200,761
author_gender,anthropic,neutral,author,0.018048397495554515,0.0033716043140725274,0.810476501305483,966,200,766
author_partisanship,anthropic,neutral,author,0.016543015276640226,0.004397709150452341,0.810476501305483,966,200,766
author_ideology,anthropic,neutral,author,0.0299591058287367,0.006714356873929317,0.810476501305483,966,200,766
author_race,anthropic,neutral,author,0.02849197723222674,0.006900387137929292,0.810476501305483,966,200,766
author_age,anthropic,neutral,author,0.02958526258823145,0.0062662317759134365,0.810476501305483,966,200,766
author_education,anthropic,neutral,author,0.02126511150754721,0.005330153593439838,0.810476501305483,966,200,766
author_income,anthropic,neutral,author,0.029403025104381777,0.008521039206369948,0.810476501305483,966,200,766
author_marital_status,anthropic,neutral,author,0.018720265648073078,0.004605888465550456,0.810476501305483,966,200,766
author_religiosity,anthropic,neutral,author,0.02340274519081011,0.004054168390813272,0.810476501305483,966,200,766
sentiment_polarity,anthropic,neutral,author,0.06694700160111106,0.00882258955893159,0.810476501305483,966,200,766
sentiment_subjectivity,anthropic,neutral,author,0.0750576851909945,0.01332348392406305,0.810476501305483,966,200,766
polarization_score,anthropic,neutral,author,0.07273555785586712,0.013546540798001319,0.810476501305483,966,200,766
primary_topic,anthropic,neutral,author,0.0471353123043033,0.007033478873958156,0.810476501305483,966,200,766
toxicity,anthropic,neutral,author,0.08352469850321295,0.012104467509015544,0.810476501305483,966,200,766
user_followers_count,anthropic,neutral,author,0.06472664517482747,0.013537231376814536,0.810476501305483,966,200,766
user_friends_count,anthropic,neutral,author,0.06155245135697252,0.0120527046213234,0.810476501305483,966,200,766
user_statuses_count,anthropic,neutral,author,0.060596707937916924,0.010606994707267585,0.810476501305483,966,200,766
user_favourites_count,anthropic,neutral,author,0.08090929882500722,0.013072940374830101,0.810476501305483,966,200,766
favorite_count,anthropic,neutral,author,0.07681632631144421,0.010509360976414552,0.810476501305483,966,200,766
retweet_count,anthropic,neutral,author,0.07643104523251482,0.014634171777025487,0.810476501305483,966,200,766
retweeted,anthropic,neutral,author,0.018148363833626207,0.010309207366666531,0.810476501305483,966,200,766
author_gender,anthropic,neutral,author_post,0.014375775700089658,0.002790753598298187,0.7921845949535192,953,200,753
author_partisanship,anthropic,neutral,author_post,0.01656458258162293,0.0024729917037530002,0.7921845949535192,953,200,753
author_ideology,anthropic,neutral,author_post,0.028778289321984608,0.005897576468489506,0.7921845949535192,953,200,753
author_race,anthropic,neutral,author_post,0.019726878691978082,0.00483040997905743,0.7921845949535192,953,200,753
author_age,anthropic,neutral,author_post,0.02885823718970706,0.007071118487570679,0.7921845949535192,953,200,753
author_education,anthropic,neutral,author_post,0.015560656086387086,0.0029561780234295637,0.7921845949535192,953,200,753
author_income,anthropic,neutral,author_post,0.03161028344591568,0.007815464967647224,0.7921845949535192,953,200,753
author_marital_status,anthropic,neutral,author_post,0.01733255071180461,0.0032258459967604365,0.7921845949535192,953,200,753
author_religiosity,anthropic,neutral,author_post,0.022542035675943456,0.0032585677985181695,0.7921845949535192,953,200,753
sentiment_polarity,anthropic,neutral,author_post,0.08437564646679589,0.01330265128498976,0.7921845949535192,953,200,753
sentiment_subjectivity,anthropic,neutral,author_post,0.08772065652353793,0.015873473986296505,0.7921845949535192,953,200,753
polarization_score,anthropic,neutral,author_post,0.08122306092182181,0.014229015789284644,0.7921845949535192,953,200,753
primary_topic,anthropic,neutral,author_post,0.051541879305713925,0.008475922936585376,0.7921845949535192,953,200,753
toxicity,anthropic,neutral,author_post,0.07418456902262652,0.012726796249633686,0.7921845949535192,953,200,753
