feature,provider,prompt_style,context_level,bias,p_value,metric,significant
author_ideology,openai,engaging,post,0.08246026443636645,0.16305294333447046,Cramér's V,False
author_race,openai,engaging,post,0.048274426909391044,0.6922241732996397,Cramér's V,False
author_age,openai,engaging,post,0.04514213892771586,0.8551581074621467,Cramér's V,False
author_education,openai,engaging,post,0.01993522435144672,0.8263322707045926,Cramér's V,False
author_income,openai,engaging,post,0.03289021234361781,0.9039037222530553,Cramér's V,False
author_marital_status,openai,engaging,post,0.03559946747257464,0.5442674045163046,Cramér's V,False
author_religiosity,openai,engaging,post,0.049316232987929406,0.5058855856606634,Cramér's V,False
sentiment_polarity,openai,engaging,post,0.011280094104752343,0.8871587651050323,Cohen's d,False
sentiment_subjectivity,openai,engaging,post,0.052757930227459726,0.5069421676535557,Cohen's d,False
polarization_score,openai,engaging,post,0.031117350353803655,0.6954767745672827,Cohen's d,False
primary_topic,openai,engaging,post,0.10079593002114319,0.7799794557796778,Cramér's V,False
toxicity,openai,engaging,post,0.059633389200097954,0.45321592816595546,Cohen's d,False
user_followers_count,openai,engaging,post,0.02102471852220061,0.7914090105046419,Cohen's d,False
user_friends_count,openai,engaging,post,0.002520772455015399,0.9747027300547383,Cohen's d,False
user_statuses_count,openai,engaging,post,0.012104308380944962,0.8789751339421361,Cohen's d,False
user_favourites_count,openai,engaging,post,0.058821709483091573,0.4593861159974948,Cohen's d,False
favorite_count,openai,engaging,post,0.049186108304011204,0.5361217184025812,Cohen's d,False
retweet_count,openai,engaging,post,0.05793508287016647,0.46617955087665947,Cohen's d,False
retweeted,openai,engaging,post,0.07896125141299098,0.32068121325010274,Cohen's d,False
author_gender,openai,informative,author,0.04662017387894427,0.3542268001978678,Cramér's V,False
author_partisanship,openai,informative,author,0.0668572715519687,0.11831854620856634,Cramér's V,False
author_ideology,openai,informative,author,0.09735356993033978,0.05983189080939499,Cramér's V,False
author_race,openai,informative,author,0.038030311567735925,0.8474522602206659,Cramér's V,False
author_age,openai,informative,author,0.09224260128181491,0.14943714245070253,Cramér's V,False
author_education,openai,informative,author,0.10005491453981014,0.008393935664993255,Cramér's V,True
author_income,openai,informative,author,0.05951107238850615,0.49601501292894146,Cramér's V,False
author_marital_status,openai,informative,author,0.06131495430574257,0.16609879297052385,Cramér's V,False
author_religiosity,openai,informative,author,0.009238439110751433,0.993960167755222,Cramér's V,False
sentiment_polarity,openai,informative,author,0.027049245460332192,0.7338353503195171,Cohen's d,False
sentiment_subjectivity,openai,informative,author,0.011465148463814155,0.8853989192151634,Cohen's d,False
polarization_score,openai,informative,author,0.05292636624286586,0.5058811930515241,Cohen's d,False
primary_topic,openai,informative,author,0.1140350999816007,0.5727066120578312,Cramér's V,False
toxicity,openai,informative,author,0.0766006992780874,0.3356881095045071,Cohen's d,False
user_followers_count,openai,informative,author,0.044634531895125194,0.5747578180517783,Cohen's d,False
user_friends_count,openai,informative,author,0.07231958183467863,0.3633824852842901,Cohen's d,False
user_statuses_count,openai,informative,author,0.009893294149385636,0.9010231452622173,Cohen's d,False
user_favourites_count,openai,informative,author,0.10593949647498155,0.18313787489544503,Cohen's d,False
favorite_count,openai,informative,author,0.12541296625380044,0.11512945185890161,Cohen's d,False
retweet_count,openai,informative,author,0.042064719334108026,0.5969716165969828,Cohen's d,False
retweeted,openai,informative,author,0.10019439514841473,0.2080200079295314,Cohen's d,False
author_gender,openai,informative,author_post,0.0025847354944243377,0.9967450503745807,Cramér's V,False
author_partisanship,openai,informative,author_post,0.02127482023969645,0.8018148385470212,Cramér's V,False
author_ideology,openai,informative,author_post,0.02313537067183977,0.9712840711747307,Cramér's V,False
author_race,openai,informative,author_post,0.07725167583515588,0.2126362710179791,Cramér's V,False
author_age,openai,informative,author_post,0.04995324414961308,0.7861851688621874,Cramér's V,False
author_education,openai,informative,author_post,0.024388701370068905,0.7480640530867602,Cramér's V,False
author_income,openai,informative,author_post,0.046674246116667525,0.7125603224085171,Cramér's V,False
author_marital_status,openai,informative,author_post,0.025424038781132804,0.7294720008846449,Cramér's V,False
author_religiosity,openai,informative,author_post,0.03362402238559013,0.7762434577899848,Cramér's V,False
sentiment_polarity,openai,informative,author_post,0.11026045425530531,0.16472412348099458,Cohen's d,False
sentiment_subjectivity,openai,informative,author_post,0.08622708742619936,0.2771563480417541,Cohen's d,False
polarization_score,openai,informative,author_post,0.08513633124104765,0.2832752388528316,Cohen's d,False
primary_topic,openai,informative,author_post,0.1780634354292364,0.0056414702765547435,Cramér's V,True
toxicity,openai,informative,author_post,0.04834030006999539,0.5422826225831239,Cohen's d,False
user_followers_count,openai,informative,author_post,0.1004038793744275,0.2057764313444121,Cohen's d,False
user_friends_count,openai,informative,author_post,0.06311259713824481,0.4263069845348565,Cohen's d,False
user_statuses_count,openai,informative,author_post,0.059549830224943166,0.4528740614734625,Cohen's d,False
user_favourites_count,openai,informative,author_post,0.1205092083613573,0.1289255988183474,Cohen's d,False
favorite_count,openai,informative,author_post,0.018716214526769182,0.8134709201126368,Cohen's d,False
retweet_count,openai,informative,author_post,0.03934514167032401,0.6199012764656422,Cohen's d,False
retweeted,openai,informative,author_post,0.08454413655532603,0.2866354224418016,Cohen's d,False
author_gender,openai,informative,none,0.040425501739314196,0.45377856337923705,Cramér's V,False
author_partisanship,openai,informative,none,0.03539668470684824,0.5456435382113781,Cramér's V,False
author_ideology,openai,informative,none,0.048268070281796055,0.6893527488051956,Cramér's V,False
author_race,openai,informative,none,0.05688303172242219,0.5364904363313983,Cramér's V,False
author_age,openai,informative,none,0.09089564366009192,0.15682236189484594,Cramér's V,False
author_education,openai,informative,none,0.023596592385105326,0.7639809690446485,Cramér's V,False
author_income,openai,informative,none,0.04305405552910227,0.7738576759735203,Cramér's V,False
author_marital_status,openai,informative,none,0.06138486036868153,0.16172193431687668,Cramér's V,False
author_religiosity,openai,informative,none,0.04347236569877952,0.6089729606814214,Cramér's V,False
sentiment_polarity,openai,informative,none,0.09620520365030794,0.22592075766255162,Cohen's d,False
sentiment_subjectivity,openai,informative,none,0.03315693425852665,0.6763231281966167,Cohen's d,False
polarization_score,openai,informative,none,0.0485856861624494,0.5407225887443275,Cohen's d,False
primary_topic,openai,informative,none,0.10729995567865043,0.6755305223508912,Cramér's V,False
toxicity,openai,informative,none,0.04825406969657492,0.5434884728079876,Cohen's d,False
user_followers_count,openai,informative,none,0.0369197582790504,0.6420322702546064,Cohen's d,False
user_friends_count,openai,informative,none,0.07421481699245756,0.35015699287569646,Cohen's d,False
user_statuses_count,openai,informative,none,0.11827337410067348,0.1366410603631229,Cohen's d,False
user_favourites_count,openai,informative,none,0.0470357980390341,0.5537097601409189,Cohen's d,False
favorite_count,openai,informative,none,0.042341015851894315,0.593957959954397,Cohen's d,False
retweet_count,openai,informative,none,0.012977254684325468,0.8701991479803537,Cohen's d,False
retweeted,openai,informative,none,0.04359333889384961,0.5830914928340152,Cohen's d,False
author_gender,openai,informative,post,0.033672073501210355,0.5799606627857252,Cramér's V,False
author_partisanship,openai,informative,post,0.021868633600936608,0.794698132770028,Cramér's V,False
author_ideology,openai,informative,post,0.10937652001217017,0.02151437768834947,Cramér's V,True
author_race,openai,informative,post,0.04763845588257603,0.7025248118556016,Cramér's V,False
author_age,openai,informative,post,0.0796510518683961,0.2969075527372907,Cramér's V,False
author_education,openai,informative,post,0.030672758692117847,0.6363140110372325,Cramér's V,False
author_income,openai,informative,post,0.08490007863109608,0.13980145503924182,Cramér's V,False
author_marital_status,openai,informative,post,0.07529559753253028,0.06560130583304573,Cramér's V,False
author_religiosity,openai,informative,post,0.07140408053645358,0.1792907009141109,Cramér's V,False
sentiment_polarity,openai,informative,post,0.04446503728160367,0.5758947621894629,Cohen's d,False
sentiment_subjectivity,openai,informative,post,0.16615357754741192,0.03679020772190245,Cohen's d,True
polarization_score,openai,informative,post,0.018537524054585378,0.8155854922135546,Cohen's d,False
primary_topic,openai,informative,post,0.1306644773473187,0.28913578471104595,Cramér's V,False
toxicity,openai,informative,post,0.03732188264067585,0.6386849421639287,Cohen's d,False
user_followers_count,openai,informative,post,0.027534188278288352,0.7290342019756999,Cohen's d,False
user_friends_count,openai,informative,post,0.08423174555999222,0.2893942141931595,Cohen's d,False
